From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
7766;12;sea;1258;-1;-1;-1;-1;Skåne-Sjaelland
7768;14;sea;5494;-1;-1;-1;-1;Sjaelland-Fyn
14;4142;sea;5494;-1;-1;-1;-1;Fyn-Aarhus
14;4149;sea;5494;-1;-1;-1;-1;Fyn-Kolding
3134;14;sea;5494;-1;-1;-1;-1;Aabenraa-Fyn
14;7614;sea;5494;-1;-1;-1;-1;Fyn-Langeland
7614;1983;sea;5494;-1;-1;-1;-1;Langeland-Lolland
7610;1983;sea;5494;-1;-1;-1;-1;Sjaelland-Lolland
123;124;sea;1307;-1;-1;-1;-1;Calabria-Messina
55;1874;sea;8392;-1;-1;-1;-1;Oldenburg-Bremen
7125;3175;sea;1311;-1;-1;-1;-1;Lefkada-Aetolia
7868;309;sea;8368;-1;-1;-1;-1;Mokrishvitsa-Olonets
6929;236;sea;6925;-1;-1;-1;-1;Lambeth-London
183;6927;sea;8315;-1;-1;-1;-1;Paris-Ile-de-la-Cite
6927;6924;sea;8315;-1;-1;-1;-1;Ile-de-la-Cite-Ile-Saint-Louis
6924;6928;sea;8315;-1;-1;-1;-1;Ile-Saint-Louis-Arsenal
6927;7960;sea;8315;-1;-1;-1;-1;Ile-de-la-Cite-Sorbonne
7771;7607;sea;5499;-1;-1;-1;-1;Ringkobing-Hjorring
6462;6449;sea;1389;-1;-1;-1;-1;Shimabara-Amakusa
8168;375;sea;1287;-1;-1;-1;-1;Tralee-Limerick
6932;316;sea;1320;-1;-1;-1;-1;Galata-Bithynia
911;945;sea;1662;-1;-1;-1;-1;Menominee-Michigan
1;1930;sea;1928;-1;-1;-1;-1;Stockholm-Åland
1930;27;sea;1928;-1;-1;-1;-1;Åland-Finland
4110;369;sea;1299;-1;-1;-1;-1;Sutherland-Orkney
8431;171;sea;1275;-1;-1;-1;-1;Belle Ile-Vannetais
8433;4386;sea;1275;-1;-1;-1;-1;Ile de Re-Fontenay
172;7992;sea;8319;-1;-1;-1;-1;Nantais-Retz
8435;174;sea;8313;-1;-1;-1;-1;Royan-Bordeaux
96;8518;sea;8328;-1;-1;-1;-1;Zeeland-Terneuzen
2975;3199;sea;8357;-1;-1;-1;-1;Kleve-Essen
1760;7536;sea;8329;-1;-1;-1;-1;Koblenz-Nastatten
8471;74;sea;8356;-1;-1;-1;-1;Kaiserslautern-Baden
1767;8188;sea;8355;-1;-1;-1;-1;Szlavonia-Zombor
4706;1756;sea;8344;-1;-1;-1;-1;Tulcea-Basarabia
7451;7452;sea;7296;-1;-1;-1;-1;Afula-Irbid
358;362;sea;7391;-1;-1;-1;-1;Alexandria-Rashid
5261;4316;sea;8338;-1;-1;-1;-1;Damietta-Phelbes
1146;1145;sea;7303;-1;-1;-1;-1;Ife-Nupe
987;4872;sea;7341;-1;-1;-1;-1;Windsor-Buffalo
988;944;sea;7342;-1;-1;-1;-1;Simcoe-Detroit
2584;993;sea;7340;-1;-1;-1;-1;Osheaga-Weskarini
994;2583;sea;7340;-1;-1;-1;-1;Quebec-Shawenigane
961;989;sea;7340;-1;-1;-1;-1;Fort Stanwix-Cataraqui
8434;4111;sea;1275;-1;-1;-1;-1;Saint Georges d'Oleron-Aunis
8434;8435;sea;1275;-1;-1;-1;-1;Saint Georges d'Oleron-Royan
3085;7894;sea;8317;-1;-1;-1;-1;Nimes-Arles
7438;7442;sea;1272;-1;-1;-1;-1;Isles of White-Portsmouth
7438;234;sea;1272;-1;-1;-1;-1;Isles of White-Hampshire
3243;2411;sea;1272;-1;-1;-1;-1;Nikitin-Mansur
3242;7256;sea;8361;-1;-1;-1;-1;Buhogard-Kremenchuk
303;2418;sea;8366;-1;-1;-1;-1;Saratov-Ukek
8362;8365;canal;1971;-1;-1;-1;-1;don_and_volga_canal
7954;6951;sea;8326;-1;-1;-1;-1;Helder-Hoorn
97;6951;sea;8352;-1;-1;-1;-1;Amsterdam-Hoorn
7954;100;sea;8326;-1;-1;-1;-1;Helder-Friesland
96;8112;sea;8328;-1;-1;-1;-1;Zeeland-Rotterdam
96;95;sea;8328;-1;-1;-1;-1;Zeeland-Breda
96;8021;sea;8328;-1;-1;-1;-1;Zeeland-Hulst
3060;99;sea;8357;-1;-1;-1;-1;Nijmegen-Gelre
4770;7975;sea;8357;-1;-1;-1;-1;'sHertogenbosch - Dort
78;7547;sea;8329;-1;-1;-1;-1;Frankfurt - Russelsheim
85;84;sea;8357;-1;-1;-1;-1;Koln - Berg
6933;6934;sea;1559;-1;-1;-1;-1;Kiis Gwaay - Gwaay Haanas
7769;7608;sea;5494;-1;-1;-1;-1;Randers-Samso
43;1841;sea;7310;-1;-1;-1;-1;Danzig - Marienburg
1984;7607;sea;5499;-1;-1;-1;-1;Aalborg - Hjorring
113;7076;sea;7309;-1;-1;-1;-1;Ferrara - Chioggia
8454;3040;sea;1298;-1;-1;-1;-1;Elba - Piombino
75;72;sea;8356;-1;-1;-1;-1;Strassbourg - Friebourg
6974;153;sea;8355;-1;-1;-1;-1;Buda - Pest
4239;1954;sea;8354;-1;-1;-1;-1;Belgrade - Pancevo
2746;7748;sea;8354;-1;-1;-1;-1;Vidin - Calafat
7754;150;sea;8344;-1;-1;-1;-1;Turnu - Nigbolu
159;4531;sea;8344;-1;-1;-1;-1;Silistre - Giurgiu
4180;5703;sea;1390;-1;-1;-1;-1;Hyuga - Osumi Islands
5703;5701;sea;1390;-1;-1;-1;-1;Osumi Islands - Amami
5701;1015;sea;1392;-1;-1;-1;-1;Amami - Okinawa
1015;5702;sea;1392;-1;-1;-1;-1;Okinawa - Sakishima
1818;6465;sea;1390;-1;-1;-1;-1;Chikuzen - Nagato
1014;6435;sea;1390;-1;-1;-1;-1;Bungo-Iyo
4186;1825;sea;1390;-1;-1;-1;-1;Aki-Iyo
6455;1024;sea;1980;-1;-1;-1;-1;Sado - Echigo
2159;666;sea;1370;-1;-1;-1;-1;Jiangmen-Hainan
3231;7857;sea;1926;-1;-1;-1;-1;Haapsalu-Hiiumaa
35;3227;sea;1256;-1;-1;-1;-1;Ösel-Piltene
5048;982;sea;1491;-1;-1;-1;-1;Esgigeoag-Unamakik
4891;983;sea;1491;-1;-1;-1;-1;Piktuk-Epekwitk
1050;4658;sea;1379;-1;-1;-1;-1;Deren-Nanghaer
1215;387;sea;1330;-1;-1;-1;-1;Tajura-Mocha
54;3136;sea;1268;-1;-1;-1;-1;Stade-Dithmarschen
1021;6446;sea;1391;-1;-1;-1;-1;Awa-Settsu
6446;1820;sea;1391;-1;-1;-1;-1;Awa-Settsu
4193;5686;sea;1387;-1;-1;-1;-1;Oshima-Mutsu
6426;6425;sea;4225;-1;-1;-1;-1;Tokachi-Kurils
6425;1032;sea;4225;-1;-1;-1;-1;Tokachi-Kurils
1199;1201;sea;1448;-1;-1;-1;-1;Bagamoyo-Zanzibar
7038;127;sea;1298;-1;-1;-1;-1;Corsica-Sardinia
394;396;sea;1335;-1;-1;-1;-1;Al Hasa-Bahrain
395;396;sea;1335;-1;-1;-1;-1;Qatar-Bahrain
627;631;sea;1354;-1;-1;-1;-1;Blambangan-Bali
1107;2738;sea;1423;-1;-1;-1;-1;Taranaki-Waitaha
1268;5494;canal;1775;-1;-1;-1;-1;kiel_canal
1548;1515;canal;835;-1;-1;-1;-1;panama_canal
1328;1316;canal;363;-1;-1;-1;-1;suez_canal
2348;318;sea;5493;-1;-1;-1;-1;Chios-Sugla
4700;2296;sea;1319;-1;-1;-1;-1;Lesbos-Biga
3245;2447;sea;1323;-1;-1;-1;-1;Kerch-Mapa
536;2100;sea;1340;-1;-1;-1;-1;Madurai-Vanni
2803;502;sea;1522;-1;-1;-1;-1;Orinoco Delta-Trinidad
631;2693;sea;1355;-1;-1;-1;-1;Bali-Lombok
2693;632;sea;1355;-1;-1;-1;-1;Lombok-Sumbawa
646;647;sea;1401;-1;-1;-1;-1;Ambom-Ceram
2678;622;sea;1361;-1;-1;-1;-1;Banka-Palembang
748;2890;sea;1529;-1;-1;-1;-1;Belem-Marajo
2954;353;sea;1305;-1;-1;-1;-1;Djerba-Tataouine
431;2999;sea;1334;-1;-1;-1;-1;Mogostan-Hormuz
2999;5249;sea;1334;-1;-1;-1;-1;Hormuz-Khasab
7194;7195;sea;1322;-1;-1;-1;-1;Kinburn-Ochakiv
35;7857;sea;1926;-1;-1;-1;-1;Hiiumaa-Ösel
3231;35;sea;1256;-1;-1;-1;-1;Haapsalu-Ösel
4363;4364;sea;1283;-1;-1;-1;-1;Argyll-Inner Hebrides
8155;4364;sea;1283;-1;-1;-1;-1;Locahber-Inner Hebrides
3137;4364;sea;1283;-1;-1;-1;-1;Ross-Inner Hebrides
747;2890;sea;1529;-1;-1;-1;-1;Amapa-Marajo
782;2869;sea;1539;-1;-1;-1;-1;Tierra Del Fuego-Florida Blanca
782;783;sea;1539;-1;-1;-1;-1;Tierra Del Fuego-Kawesqar
778;2851;sea;1536;-1;-1;-1;-1;Rio de la Plata-Colonia
4993;4995;sea;5462;-1;-1;-1;-1;Naujaat-Shugliaq
4974;5019;sea;1495;-1;-1;-1;-1;Grand Bank-Saint Pierre
5818;4936;sea;1697;-1;-1;-1;-1;Puuwai-Kauai
4936;4935;sea;1697;-1;-1;-1;-1;Kauai-Oahu
4935;5029;sea;1697;-1;-1;-1;-1;Oahu-Molokai
5029;5817;sea;1697;-1;-1;-1;-1;Molokai-Lanai
5817;4934;sea;1697;-1;-1;-1;-1;Lanai-Maui
5029;4934;sea;1697;-1;-1;-1;-1;Molokai-Maui
5817;1240;sea;1697;-1;-1;-1;-1;Maui-Hawaii
1242;4937;sea;1431;-1;-1;-1;-1;Viti Levu-Lau
1242;4938;sea;1431;-1;-1;-1;-1;Viti Levu-Vanua Levu
4938;4937;sea;1431;-1;-1;-1;-1;Vanua Levu-Lau
2720;1236;sea;1405;-1;-1;-1;-1;Lae-Rabaul
1088;6199;sea;7352;-1;-1;-1;-1;Wergaia - Barundji
1001;5039;sea;1661;-1;-1;-1;-1;Soto-Manidoowaaling
911;1001;sea;1663;-1;-1;-1;-1;Menominee-Sault
911;5039;sea;1661;-1;-1;-1;-1;Belem-Manidoowaaling
4973;5039;sea;1661;-1;-1;-1;-1;Waanabidebiing-Manidoowaaling
2576;2578;sea;1490;-1;-1;-1;-1;Mingan-Anticosti
985;983;sea;1491;-1;-1;-1;-1;Mikmaq-Epekwitk
366;5096;sea;1471;-1;-1;-1;-1;The Canarias-Tenerife
1983;7613;sea;5494;-1;-1;-1;-1;Lolland-Fehmarn
1983;7612;sea;1258;-1;-1;-1;-1;Lolland-Falster
7612;7610;sea;1258;-1;-1;-1;-1;Falster-Sydsjaeland
7612;7611;sea;1258;-1;-1;-1;-1;Falster-Mon
7613;1775;sea;5494;-1;-1;-1;-1;Fehmarn-Kiel
7614;13;sea;5494;-1;-1;-1;-1;Langeland-Schleswig
7611;7610;sea;1258;-1;-1;-1;-1;Mon-Sydsjaeland
3;3121;sea;1255;-1;-1;-1;-1;Smaland-Kalmar
227;3108;sea;1292;-1;-1;-1;-1;Lisboa-Setubal
7193;7200;sea;1322;-1;-1;-1;-1;Ichki-KyzylYar
4700;5131;sea;1319;-1;-1;-1;-1;Lesbos-Ayvalik
741;502;sea;1522;-1;-1;-1;-1;Cumana-Trinidad
741;5579;sea;1520;-1;-1;-1;-1;Cumana-Waikeri
484;4622;sea;1518;-1;-1;-1;-1;Havana-Siwanea
4624;4622;sea;1518;-1;-1;-1;-1;Guanahatabey-Siwanea
2022;5865;sea;1559;-1;-1;-1;-1;Haida-Taan
5865;5866;sea;1559;-1;-1;-1;-1;Taan-Ketchikan
2219;5255;sea;1334;-1;-1;-1;-1;Bandar Langeh-Kish
333;4560;sea;1295;-1;-1;-1;-1;The Baleares-Ibiza
333;4559;sea;1300;-1;-1;-1;-1;The Baleares-Menorca
5747;5781;sea;1558;-1;-1;-1;-1;Lummi-Chimakum
2610;5780;sea;1558;-1;-1;-1;-1;Heiltsuk-Sathloot
974;5780;sea;1558;-1;-1;-1;-1;Kwakiutl-Sathloot
974;5733;sea;1558;-1;-1;-1;-1;Kwakiutl-Kwakiutlii
976;5728;sea;1559;-1;-1;-1;-1;Tlingit-Taan
2613;5863;sea;1561;-1;-1;-1;-1;Sitka-Shgagei
2613;5864;sea;1561;-1;-1;-1;-1;Sitka-Xootsnoowu
5727;5864;sea;1561;-1;-1;-1;-1;Taku-Xootsnoowu
874;5807;sea;1558;-1;-1;-1;-1;Salish-Suquamish
5747;5807;sea;1558;-1;-1;-1;-1;Lummi-Suquamish
5731;5732;sea;1559;-1;-1;-1;-1;Heiltsuk-Wuikinuxv
2609;5866;sea;1559;-1;-1;-1;-1;Tsmsyan-Kichxaan
2021;5030;sea;1556;-1;-1;-1;-1;Miwok-Ohlone
5030;5814;sea;1556;-1;-1;-1;-1;Ohlone-Ohloneii
4698;7125;sea;1312;-1;-1;-1;-1;Cephalonia-Lefkada
4698;7126;sea;1312;-1;-1;-1;-1;Cephalonia-Zakynthos
3178;7112;sea;1312;-1;-1;-1;-1;Patras-Naupaktos
142;7140;sea;1311;-1;-1;-1;-1;Corfu-Butrint
142;7132;sea;1311;-1;-1;-1;-1;Corfu-Thesprotia
2348;4309;sea;5493;-1;-1;-1;-1;Chios-Aydin
2296;4779;sea;1319;-1;-1;-1;-1;Biga-Gallipoli
7110;7113;sea;1319;-1;-1;-1;-1;Oreoi-ZetounionBodonitsa
7110;7117;sea;1319;-1;-1;-1;-1;Oreoi-Demetrias
164;7109;sea;5493;-1;-1;-1;-1;Naxos-Chalcis
4565;5096;sea;1471;-1;-1;-1;-1;Tenerife-GranCanaria
47;4745;sea;1257;-1;-1;-1;-1;Stralsund-Rugen
2994;7816;sea;1257;-1;-1;-1;-1;Wolgast-Usedom
7816;7818;sea;1257;-1;-1;-1;-1;Usedom-Kammin
40;7833;sea;8336;-1;-1;-1;-1;Memel-Sambia
5642;7851;sea;1260;-1;-1;-1;-1;Gdov-Ugandi
7730;7731;sea;1309;-1;-1;-1;-1;Makarska-Brac
136;7731;sea;1309;-1;-1;-1;-1;Spalato-Brac
137;7731;sea;1309;-1;-1;-1;-1;Ragusa-Brac
7734;7735;sea;1308;-1;-1;-1;-1;Senj-Krk
130;7735;sea;1308;-1;-1;-1;-1;Istria-Krk
54;4141;sea;1268;-1;-1;-1;-1;Stade-Dithmarschen
5729;5866;sea;1559;-1;-1;-1;-1;Nisga'a-Kichxaan
5728;5866;sea;1559;-1;-1;-1;-1;Taan-Kichxaan
976;5864;sea;1559;-1;-1;-1;-1;Tlingit-Taan
8633;8635;sea;1400;-1;-1;-1;-1;Moro- Jailolo
8630;8722;sea;1356;-1;-1;-1;-1;Bima- Manggarai
2692;8708;sea;1355;-1;-1;-1;-1;Madura- Gresik
624;8695;sea;1360;-1;-1;-1;-1;Banten- Lampung
2716;4796;sea;1357;-1;-1;-1;-1;Buton- Kendari
1829;6984;sea;1372;-1;-1;-1;-1;Quanzhou-Kinmen
